candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
17	OVA-C4-IPTM90-501	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1283491849899292	1.1777015924453735	1.0060670375823975	1.1764557361602783	1.1531721353530884	0.17163455486297607
17	OVA-C4-IPTM90-501	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.087367057800293	0.9448135495185852	1.1897988319396973	1.123904824256897	1.090950846672058	0.24498528242111206
18	OVA-C4-IPTM90-380	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1555328369140625	1.1488947868347168	1.1680245399475098	1.1117538213729858	1.1934581995010376	0.08170437812805176
18	OVA-C4-IPTM90-380	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.135660171508789	1.2198530435562134	1.0685044527053833	1.035778284072876	1.2185052633285522	0.1840747594833374
18	OVA-C4-IPTM90-380	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1542000770568848	1.1733821630477905	1.080460548400879	1.2215968370437622	1.1413606405258179	0.1411362886428833
18	OVA-C4-IPTM90-380	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1144105195999146	0.979844868183136	1.2653148174285889	1.134997844696045	1.0774847269058228	0.2854699492454529
19	OVA-C4-IPTM90-145	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.116257667541504	1.104189157485962	1.1241830587387085	1.0800983905792236	1.1565604209899902	0.0764620304107666
19	OVA-C4-IPTM90-145	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1083412170410156	1.1619151830673218	1.0589163303375244	1.0056730508804321	1.2068601846694946	0.2011871337890625
19	OVA-C4-IPTM90-145	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1237213611602783	1.1352063417434692	1.0467042922973633	1.173741102218628	1.1392337083816528	0.12703680992126465
19	OVA-C4-IPTM90-145	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0844544172286987	0.9315435290336609	1.2337143421173096	1.1033260822296143	1.0692335367202759	0.3021708130836487
20	OVA-C4-IPTM90-403	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1802905797958374	1.137325406074524	1.2468290328979492	1.0844388008117676	1.2525691986083984	0.16813039779663086
20	OVA-C4-IPTM90-403	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1621108055114746	1.1710631847381592	1.0656330585479736	1.0888487100601196	1.3228979110717773	0.2572648525238037
20	OVA-C4-IPTM90-403	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1671202182769775	1.1904418468475342	1.1475378274917603	1.1903784275054932	1.140122652053833	0.05031919479370117
20	OVA-C4-IPTM90-403	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1370046138763428	0.9893542528152466	1.3512437343597412	1.1221752166748047	1.0852452516555786	0.36188948154449463
