source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-21B__Protenix	B-C	Hydrophobic	10	22
OVA-C4-IPTM80-21B__Protenix	B-C	HydrogenBond	3	3
OVA-C4-IPTM80-21B__Protenix	B-C	SaltBridge	4	8
OVA-C4-IPTM80-21B__Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-21B__Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	B-C	VdWContact	18	66
OVA-C4-IPTM80-21B__Protenix	B-D	Hydrophobic	1	23
OVA-C4-IPTM80-21B__Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-21B__Protenix	B-D	SaltBridge	0	0
OVA-C4-IPTM80-21B__Protenix	B-D	PiStacking	1	1
OVA-C4-IPTM80-21B__Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	B-D	VdWContact	6	18
OVA-C4-IPTM80-21B__Protenix	C-D	Hydrophobic	8	14
OVA-C4-IPTM80-21B__Protenix	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-21B__Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-21B__Protenix	C-D	PiStacking	0	0
OVA-C4-IPTM80-21B__Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-21B__Protenix	C-D	VdWContact	10	29
OVA-C4-IPTM80-21C__AF3	A-B	Hydrophobic	3	37
OVA-C4-IPTM80-21C__AF3	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-21C__AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-21C__AF3	A-B	PiStacking	1	1
OVA-C4-IPTM80-21C__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	A-B	VdWContact	5	57
OVA-C4-IPTM80-21C__AF3	A-C	Hydrophobic	12	26
OVA-C4-IPTM80-21C__AF3	A-C	HydrogenBond	1	1
OVA-C4-IPTM80-21C__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-21C__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-21C__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	A-C	VdWContact	20	65
OVA-C4-IPTM80-21C__AF3	A-D	Hydrophobic	8	11
OVA-C4-IPTM80-21C__AF3	A-D	HydrogenBond	2	2
OVA-C4-IPTM80-21C__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-21C__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-21C__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	A-D	VdWContact	10	14
OVA-C4-IPTM80-21C__AF3	B-C	Hydrophobic	8	11
OVA-C4-IPTM80-21C__AF3	B-C	HydrogenBond	2	2
OVA-C4-IPTM80-21C__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-21C__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-21C__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	B-C	VdWContact	10	15
OVA-C4-IPTM80-21C__AF3	B-D	Hydrophobic	12	26
OVA-C4-IPTM80-21C__AF3	B-D	HydrogenBond	2	2
OVA-C4-IPTM80-21C__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-21C__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-21C__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	B-D	VdWContact	21	60
OVA-C4-IPTM80-21C__AF3	C-D	Hydrophobic	3	37
OVA-C4-IPTM80-21C__AF3	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-21C__AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-21C__AF3	C-D	PiStacking	1	1
OVA-C4-IPTM80-21C__AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-21C__AF3	C-D	VdWContact	5	59
OVA-C4-IPTM80-21C__Protenix	A-B	Hydrophobic	0	0
OVA-C4-IPTM80-21C__Protenix	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-21C__Protenix	A-B	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	A-B	VdWContact	1	22
OVA-C4-IPTM80-21C__Protenix	A-C	Hydrophobic	6	20
OVA-C4-IPTM80-21C__Protenix	A-C	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	A-C	SaltBridge	0	0
OVA-C4-IPTM80-21C__Protenix	A-C	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	A-C	VdWContact	18	85
OVA-C4-IPTM80-21C__Protenix	A-D	Hydrophobic	6	10
OVA-C4-IPTM80-21C__Protenix	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	A-D	SaltBridge	0	0
